ticker,cik,status,row_count,output_path,error_type,error_message,started_at,finished_at,elapsed_seconds
A,0001090872,skipped,,data\facts\0001090872.parquet,,,2026-07-20T13:51:52,2026-07-20T13:51:52,0.0
AA,0001675149,skipped,,data\facts\0001675149.parquet,,,2026-07-20T13:51:52,2026-07-20T13:51:52,0.0
AAAU,0001708646,skipped,,data\facts\0001708646.parquet,,,2026-07-20T13:51:52,2026-07-20T13:51:52,0.0
AAC,0002128115,skipped,,data\facts\0002128115.parquet,,,2026-07-20T13:51:52,2026-07-20T13:51:52,0.0
AACB,0002034334,skipped,,data\facts\0002034334.parquet,,,2026-07-20T13:51:53,2026-07-20T13:51:53,0.0
AACG,0001420529,success,7345.0,data\facts\0001420529.parquet,,,2026-07-20T13:51:53,2026-07-20T13:51:54,0.96
AACI,0002092897,success,114.0,data\facts\0002092897.parquet,,,2026-07-20T13:51:54,2026-07-20T13:51:55,0.77
AACO,0002099906,success,76.0,data\facts\0002099906.parquet,,,2026-07-20T13:51:55,2026-07-20T13:51:56,0.605
AACP,0002102123,success,41.0,data\facts\0002102123.parquet,,,2026-07-20T13:51:56,2026-07-20T13:51:57,0.837
AADX,0002118195,success,10.0,data\facts\0002118195.parquet,,,2026-07-20T13:51:57,2026-07-20T13:51:58,0.674
AAL,0000006201,success,21895.0,data\facts\0000006201.parquet,,,2026-07-20T13:51:58,2026-07-20T13:51:59,0.809
AAME,0000008177,success,18874.0,data\facts\0000008177.parquet,,,2026-07-20T13:51:59,2026-07-20T13:52:00,0.823
AAMI,0001748824,success,7366.0,data\facts\0001748824.parquet,,,2026-07-20T13:52:00,2026-07-20T13:52:01,0.853
AAMTF,0001327899,failed,,,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0001327899.json,2026-07-20T13:52:01,2026-07-20T13:52:02,0.706
AAOI,0001158114,success,21595.0,data\facts\0001158114.parquet,,,2026-07-20T13:52:02,2026-07-20T13:52:03,0.922
AAON,0000824142,success,23342.0,data\facts\0000824142.parquet,,,2026-07-20T13:52:03,2026-07-20T13:52:04,0.977
AAP,0001158449,success,23136.0,data\facts\0001158449.parquet,,,2026-07-20T13:52:04,2026-07-20T13:52:05,0.842
AAPG,0002023311,success,683.0,data\facts\0002023311.parquet,,,2026-07-20T13:52:05,2026-07-20T13:52:06,0.616
AAPI,0001134982,success,7098.0,data\facts\0001134982.parquet,,,2026-07-20T13:52:06,2026-07-20T13:52:07,0.668
AAPL,0000320193,success,24852.0,data\facts\0000320193.parquet,,,2026-07-20T13:52:07,2026-07-20T13:52:08,1.354
AAQL,0001672571,success,4634.0,data\facts\0001672571.parquet,,,2026-07-20T13:52:08,2026-07-20T13:52:10,1.228
AARD,0001774857,success,1101.0,data\facts\0001774857.parquet,,,2026-07-20T13:52:10,2026-07-20T13:52:11,1.103
AASP,0000930245,success,8044.0,data\facts\0000930245.parquet,,,2026-07-20T13:52:11,2026-07-20T13:52:12,1.219
AAT,0001500217,success,23764.0,data\facts\0001500217.parquet,,,2026-07-20T13:52:13,2026-07-20T13:52:14,1.375
AATC,0000943034,success,13017.0,data\facts\0000943034.parquet,,,2026-07-20T13:52:14,2026-07-20T13:52:16,1.347
