ticker,company_name,cik,exchange,target_end_date,revenue,operating_income,net_income,assets,liabilities,revenue_tag,operating_income_tag,net_income_tag,assets_tag,liabilities_tag,liabilities_calculated,liabilities_method,revenue_end_date,operating_income_end_date,net_income_end_date,assets_end_date,liabilities_end_date,revenue_fiscal_year,revenue_filed_date,data_age_days,is_stale,financial_warning,warning_count,warning_messages,operating_margin,net_margin,liability_to_assets,period_consistent,period_issues,response_seconds
A,"AGILENT TECHNOLOGIES, INC.",0001090872,NYSE,2025-10-31,6948000000.0,1479000000.0,1303000000.0,12727000000.0,5986000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-10-31,2025-10-31,2025-10-31,2025-10-31,2025-10-31,2025,2025-12-22,258,False,False,0,,0.21286701208981001,0.18753598157743234,0.470338650113931,True,,1.176
AA,Alcoa Corp,0001675149,NYSE,2025-12-31,12831000000.0,,1157000000.0,16129000000.0,9935000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-26,197,False,False,0,,,0.09017223910840932,0.6159712319424638,False,{'operating_income': '값 없음'},0.814
AAL,American Airlines Group Inc.,0000006201,Nasdaq,2025-12-31,54633000000.0,1467000000.0,111000000.0,61774000000.0,65501000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,CALCULATED:LiabilitiesAndStockholdersEquity-StockholdersEquity,True,LiabilitiesAndEquity - Equity,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-18,197,False,True,1,liabilities_exceed_assets,0.026851902696172644,0.002031739058810609,1.0603328261080713,True,,1.095
AAME,ATLANTIC AMERICAN CORP,0000008177,Nasdaq,2024-12-31,188227000.0,-4958000.0,-4268000.0,393428000.0,293815000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024,2025-03-25,562,False,False,0,,-0.02634053562985119,-0.02267474910613249,0.7468075480138678,True,,0.737
AAMI,Acadian Asset Management Inc.,0001748824,NYSE,2025-12-31,563700000.0,132100000.0,80000000.0,677000000.0,593000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-27,197,False,False,0,,0.23434450949086394,0.14191946070604933,0.8759231905465288,True,,0.836
AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,Nasdaq,2025-12-31,455715000.0,-54602000.0,-38228000.0,1168423000.0,434505000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-26,197,False,False,0,,-0.1198161131408885,-0.08388576193454242,0.37187302886026724,True,,0.929
AAON,"AAON, INC.",0000824142,Nasdaq,2017-12-31,405232000.0,74235000.0,53830000.0,296780000.0,57855000.0,SalesRevenueGoodsNet,OperatingIncomeLoss,NetIncomeLoss,Assets,CALCULATED:LiabilitiesAndStockholdersEquity-StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True,LiabilitiesAndEquity - Equity,2017-12-31,2017-12-31,2017-12-31,2017-12-31,2017-12-31,2017,2018-02-27,3119,True,False,0,,0.18319135704978876,0.13283748568721127,0.19494238156209986,True,,0.896
AAP,ADVANCE AUTO PARTS INC,0001158449,NYSE,2026-01-03,8601000000.0,-43000000.0,44000000.0,11826000000.0,9628000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026,2026-02-13,194,False,False,0,,-0.004999418672247413,0.005115684222764795,0.8141383392524945,True,,0.941
AAPL,Apple Inc.,0000320193,Nasdaq,2025-09-27,416161000000.0,133050000000.0,112010000000.0,359241000000.0,285508000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025,2025-10-31,292,False,False,0,,0.31970799762591884,0.2691506412181824,0.7947533828265705,True,,1.174
AAT,"American Assets Trust, Inc.",0001500217,NYSE,2025-12-31,39914000.0,145932000.0,71370000.0,2921276000.0,1830071000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,ProfitLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-06,197,False,True,2,operating_income_exceeds_revenue|net_income_exceeds_revenue,3.6561607456030467,1.7880944029663777,0.6264628881351848,True,,0.903
ABAT,AMERICAN BATTERY TECHNOLOGY Co,0001576873,Nasdaq,2025-06-30,4290224.0,-42023329.0,-46762625.0,84457791.0,13858768.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025-06-30,2025,2025-09-18,381,False,False,0,,-9.795136337869538,-10.899809660288135,0.16409105466658488,True,,0.737
ABBV,AbbVie Inc.,0001551152,NYSE,2025-12-31,61160000000.0,15075000000.0,4226000000.0,133960000000.0,137230000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,CALCULATED:LiabilitiesAndStockholdersEquity-StockholdersEquity,True,LiabilitiesAndEquity - Equity,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-20,197,False,True,1,liabilities_exceed_assets,0.24648463047743624,0.06909744931327665,1.0244102717229024,True,,0.988
ABCL,AbCellera Biologics Inc.,0001703057,Nasdaq,2025-12-31,75128000.0,-217103000.0,-146412000.0,1356950000.0,390046000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-24,197,False,False,0,,-2.889774784368012,-1.9488339899904163,0.2874431629757913,True,,0.933
ABEO,ABEONA THERAPEUTICS INC.,0000318306,Nasdaq,2025-12-31,5820000.0,-89448000.0,71183000.0,219570000.0,60354000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-17,197,False,True,1,net_income_exceeds_revenue,-15.369072164948454,12.230756013745705,0.27487361661429155,True,,0.927
ABG,ASBURY AUTOMOTIVE GROUP INC,0001144980,NYSE,2025-12-31,17999000000.0,860600000.0,492000000.0,11618200000.0,7726300000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,CALCULATED:LiabilitiesAndStockholdersEquity-StockholdersEquity,True,LiabilitiesAndEquity - Equity,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-20,197,False,False,0,,0.047813767431523976,0.02733485193621868,0.6650169561549982,True,,0.928
ABM,ABM INDUSTRIES INC /DE/,0000771497,NYSE,2025-10-31,8745900000.0,311700000.0,162400000.0,5269500000.0,3483800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-10-31,2025-10-31,2025-10-31,2025-10-31,2025-10-31,2025,2025-12-19,258,False,False,0,,0.03563955682091037,0.018568700762643067,0.6611253439605276,True,,1.069
ABNB,"Airbnb, Inc.",0001559720,Nasdaq,2025-12-31,12241000000.0,2544000000.0,2511000000.0,22208000000.0,14009000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-12,197,False,False,0,,0.20782615799362797,0.20513029981210684,0.6308087175792507,True,,0.768
ABSI,Absci Corp,0001672688,Nasdaq,2024-12-31,4534000.0,-108888000.0,-103106000.0,213608000.0,34475000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024,2025-03-18,562,False,False,0,,-24.015880017644463,-22.740626378473753,0.16139376802366953,True,,0.86
ABT,ABBOTT LABORATORIES,0000001800,NYSE,2025-12-31,44328000000.0,8053000000.0,6524000000.0,86713000000.0,34583000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,CALCULATED:LiabilitiesAndStockholdersEquity-StockholdersEquity,True,LiabilitiesAndEquity - Equity,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-20,197,False,False,0,,0.18166847139505504,0.14717560007218913,0.3988213993288204,True,,0.881
ABTC,American Bitcoin Corp.,0001755953,Nasdaq,2025-12-31,185164000.0,-227988000.0,-153171000.0,1246512000.0,580693000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-27,197,False,False,0,,-1.2312760579810331,-0.8272180337430602,0.46585431989423287,True,,1.086
ABUS,Arbutus Biopharma Corp,0001447028,Nasdaq,2025-12-31,14083000.0,-38160000.0,-33501000.0,94618000.0,18042000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-23,197,False,False,0,,-2.709649932542782,-2.3788255343321736,0.19068253397873555,True,,0.829
ABVC,"ABVC BIOPHARMA, INC.",0001173313,Nasdaq,2024-12-31,509589.0,-4705242.0,-4902878.0,7539907.0,6815948.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2025,2026-03-03,562,False,False,0,,-9.233405744629495,-9.621239861927945,0.9039830332124786,True,,1.053
ABX,"Abacus Global Management, Inc.",0001814287,NYSE,2025-12-31,235237636.0,88757367.0,36525269.0,902240258.0,478699328.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-13,197,False,False,0,,0.3773093817351574,0.15526966526733843,0.530567466653655,True,,0.772
ABXL,"Abacus Global Management, Inc.",0001814287,NYSE,2025-12-31,235237636.0,88757367.0,36525269.0,902240258.0,478699328.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-13,197,False,False,0,,0.3773093817351574,0.15526966526733843,0.530567466653655,True,,0.824
ACA,"Arcosa, Inc.",0001739445,NYSE,2025-12-31,2883400000.0,341900000.0,208400000.0,4985200000.0,2343800000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-27,197,False,False,0,,0.11857529305680793,0.07227578553097039,0.47015164888068683,True,,0.902
ACAD,ACADIA PHARMACEUTICALS INC,0001070494,Nasdaq,2025-12-31,1071505000.0,104811000.0,391000000.0,1564195000.0,336805000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-26,197,False,False,0,,0.09781662241426778,0.36490730327903276,0.2153216191075921,True,,0.915
ACCO,ACCO BRANDS Corp,0000712034,NYSE,2025-12-31,1524700000.0,92300000.0,41300000.0,2253000000.0,1588400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-09,197,False,False,0,,0.06053649898340657,0.027087295861480946,0.7050155348424323,True,,0.984
ACCS,ACCESS Newswire Inc.,0000843006,NYSE,2025-12-31,22619000.0,-1871000.0,4291000.0,41992000.0,11647000.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-19,197,False,False,0,,-0.082718068880145,0.18970776780582696,0.2773623547342351,True,,1.022
ACDC,ProFrac Holding Corp.,0001881487,Nasdaq,2025-12-31,1941800000.0,-225800000.0,-369000000.0,2573100000.0,1692400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-13,197,False,False,0,,-0.11628386033577093,-0.19002986919353176,0.6577280323345381,True,,0.79
ACEL,"Accel Entertainment, Inc.",0001698991,NYSE,2018-12-31,0.0,24869000.0,10803000.0,335174000.0,16002472.0,Revenues,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018,2019-02-13,2754,True,True,3,revenue_non_positive|operating_income_exceeds_revenue|net_income_exceeds_revenue,,,0.04774377487513948,True,,1.229
ACFN,"ACORN ENERGY, INC.",0000880984,Nasdaq,2025-12-31,11478000.0,1989000.0,2510000.0,13334000.0,5018000.0,RevenueFromContractWithCustomerExcludingAssessedTax,OperatingIncomeLoss,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025,2026-03-05,197,False,False,0,,0.17328802927339257,0.21867921240634255,0.37633118344082794,True,,1.078
ACGL,ARCH CAPITAL GROUP LTD.,0000947484,Nasdaq,2025-12-31,19929000000.0,,4399000000.0,79241000000.0,55035000000.0,Revenues,,NetIncomeLoss,Assets,Liabilities,False,,2025-12-31,,2025-12-31,2025-12-31,2025-12-31,2025,2026-02-26,197,False,False,0,,,0.22073360429524813,0.6945268232354463,False,{'operating_income': '값 없음'},1.097
