ticker,error_type,error_message,response_seconds,structural_error
AACB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.766,True
AACBR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.572,True
AACBU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.627,True
AACG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.733,True
AADX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.63,True
AAPG,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.857,True
AARD,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.737,True
AAUC,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.615,True
AB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.789,True
ABCB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.025,True
ABEV,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.821,True
ABLV,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.543,True
ABLVW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.667,True
ABOS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.618,True
ABR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.733,True
ABTS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.588,True
ABVX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.597,True
ACB,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.628,True
ACCL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.635,True
ACET,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.833,True
ACIU,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.769,True
ACP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.96,True
ACRV,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.997,True
ACTU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.97,True
ACV,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0001636289.json,12.026,False
ACXP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.973,True
ADAG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.13,True
ADAM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.159,True
ADAMG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.187,True
ADAMH,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.456,True
ADAMI,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.249,True
ADAML,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.248,True
