ticker,error_type,error_message,response_seconds,structural_error
AACB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.632,True
AACBR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.641,True
AACBU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.892,True
AACG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.059,True
AADX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.636,True
AAPG,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.752,True
AARD,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.651,True
AAUC,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.626,True
AB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.651,True
ABCB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.959,True
ABEV,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.576,True
ABLV,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.522,True
ABLVW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.775,True
ABOS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.763,True
ABR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.812,True
ABTS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.622,True
ABVX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.715,True
ACB,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.902,True
ACCL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.748,True
ACET,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.846,True
ACIU,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.888,True
ACP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.534,True
ACRV,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.563,True
ACTU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.648,True
ACV,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0001636289.json,10.736,False
ACXP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.696,True
ADAG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.718,True
ADAM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.863,True
ADAMG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.798,True
ADAMH,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.808,True
ADAMI,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.872,True
ADAML,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.011,True
ADAMM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.078,True
ADAMN,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.017,True
ADAMO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.044,True
ADAMZ,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.112,True
ADIL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.206,True
ADSE,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.047,True
ADSEW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.134,True
ADUR,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.002,True
ADVB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.038,True
ADX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.022,True
ADXN,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.073,True
AEC,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.064,True
AEF,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0000846676.json,12.335,False
AEFC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.282,True
AEG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.217,True
AEHL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.145,True
AEM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.118,True
AEON,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.051,True
AER,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.554,True
AERO,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.991,True
AESP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.059,True
AESPR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.138,True
AESPU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.037,True
