ticker,theme_candidate,sub_theme_candidate,candidate_score,include,note,cik,entity_name,latest_period_end,latest_filed,latest_form,latest_accession,latest_fiscal_year,latest_fiscal_period,latest_period_type,revenue,operating_income,net_income,assets,liabilities,equity,current_assets,current_liabilities,operating_cash_flow,capital_expenditure,free_cash_flow_proxy,revenue_growth,operating_income_growth,net_income_growth,asset_growth,operating_margin,net_margin,roa,roe,debt_ratio,debt_to_equity,current_ratio,ocf_to_assets,factor_available_count,source_fact_count,pit_valid,financial_warning,data_quality_score,selection_reason,factor_file,exchange,sector,industry,theme,sub_theme,market_cap,is_ai_infrastructure,classification_rule,classification_score,ai_relevance_score,quality_component,factor_component,selection_score,classification_source,quota_theme,selection_stage,universe_rank,selected_for_index
MSFT,Cloud,Hyperscale Cloud,100,True,,0000789019,MICROSOFT CORP,2025-06-30,2025-07-30,10-K,0000950170-25-100235,2025.0,FY,annual,281724000000.0,128528000000.0,101832000000.0,619003000000.0,275524000000.0,343479000000.0,191131000000.0,141218000000.0,136162000000.0,64551000000.0,71611000000.0,0.14932156232406713,0.17449032741494785,0.15539620586366532,0.20860546349502007,0.4562195624085985,0.3614601524896707,0.18004784443662558,0.3328082411153743,0.44510931287893596,0.8021567548525529,1.3534464445042416,0.2407462741984819,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0000789019.parquet,,,,Cloud,Hyperscale Cloud,,True,curated_candidate_universe,100,100,100.0,100.0,100.0,candidate_csv,Cloud,theme_quota,1,True
SMCI,Server,AI Server,100,True,,0001375365,"Super Micro Computer, Inc.",2025-06-30,2025-08-28,10-K,0001375365-25-000027,2025.0,FY,annual,21972042000.0,1252994000.0,1048854000.0,14018429000.0,7716558000.0,6301693000.0,12301654000.0,2344792000.0,1659524000.0,127214000.0,1532310000.0,0.46585323042492255,0.03487025654663878,-0.09006251594130477,0.42665354649640985,0.057026743349571245,0.047735845398438614,0.08797442397773476,0.17900214004745668,0.5504581148144346,1.2245214103575024,5.246373239076217,0.13919541516476677,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001375365.parquet,,,,Server,AI Server,,True,curated_candidate_universe,100,100,100.0,100.0,100.0,candidate_csv,Server,theme_quota,2,True
VRT,Power,Data Center Power Management,100,True,,0001674101,Vertiv Holdings Co,2025-12-31,2026-02-13,10-K,0001674101-26-000008,2025.0,FY,annual,10229900000.0,1829700000.0,1332800000.0,12212400000.0,8271100000.0,3941300000.0,6819500000.0,4407000000.0,2113800000.0,220000000.0,1893800000.0,0.2768541401432887,0.3380868802106187,1.688180718031464,0.33724609909663283,0.1788580533534052,0.13028475351665217,0.12488229038318287,0.4180939833113746,0.677270642953064,2.0985715373100247,1.5474245518493306,0.19806136360442073,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001674101.parquet,,,,Power,Data Center Power Management,,True,curated_candidate_universe,100,100,100.0,100.0,100.0,candidate_csv,Power,theme_quota,3,True
ASML,Semiconductor,Lithography Equipment,98,True,,0000937966,ASML HOLDING NV,2025-12-31,2026-02-25,20-F,0001628280-26-011378,2025.0,FY,annual,32667300000.0,11301400000.0,9609400000.0,50566600000.0,30954400000.0,19612200000.0,30616100000.0,24263900000.0,12658500000.0,1573600000.0,11084900000.0,0.15583680372502462,0.25256577926540014,0.26913730255164037,0.04068771918270575,0.34595451720833986,0.29415960302810457,0.1938234825457208,0.5045761243403607,0.6121511036929514,1.5783236964746434,1.2617963311751201,0.25532442751940876,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0000937966.parquet,,,,Semiconductor,Lithography Equipment,,True,curated_candidate_universe,98,98,100.0,100.0,98.8,candidate_csv,Semiconductor,theme_quota,4,True
GOOGL,Cloud,Hyperscale Cloud,98,True,,0001652044,Alphabet Inc.,2025-12-31,2026-02-05,10-K,0001652044-26-000018,2025.0,FY,annual,402836000000.0,129039000000.0,132170000000.0,595281000000.0,180016000000.0,415265000000.0,206038000000.0,102745000000.0,164713000000.0,91447000000.0,73266000000.0,0.1509008108154437,0.14813595515615274,0.3201422321660441,0.322094541771792,0.32032638592380025,0.3280987796522654,0.252827016164899,0.3570478247421149,0.3024050826416432,0.4334966828410774,2.005333592875566,0.3150782803478021,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001652044.parquet,,,,Cloud,Hyperscale Cloud,,True,curated_candidate_universe,98,98,100.0,100.0,98.8,candidate_csv,Cloud,theme_quota,5,True
TSM,Semiconductor,Foundry,98,True,,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,2024-12-31,2025-04-17,20-F,0001193125-25-083423,2024.0,FY,annual,2894307700000.0,1322053000000.0,1157523900000.0,6691764700000.0,2412493100000.0,4279271600000.0,3088352100000.0,1308655900000.0,1826177100000.0,956006500000.0,870170600000.0,0.3388813286063912,0.4347285454823273,0.3601483241967329,0.20960355964211397,0.45677693494717236,0.39993118216145435,0.18938605442083656,0.29936718704144183,0.36051672587949785,0.5637625571604289,2.359942059635386,0.2987864662169701,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001046179.parquet,,,,Semiconductor,Foundry,,True,curated_candidate_universe,98,98,100.0,100.0,98.8,candidate_csv,Semiconductor,theme_quota,6,True
AMD,Semiconductor,GPU,97,True,,0000002488,ADVANCED MICRO DEVICES INC,2025-12-27,2026-02-04,10-K,0000002488-26-000018,2025.0,FY,annual,34639000000.0,3694000000.0,4335000000.0,76926000000.0,13927000000.0,62999000000.0,26947000000.0,9455000000.0,7709000000.0,974000000.0,6735000000.0,0.3433779329067288,0.9442105263157894,1.6416819012797075,0.1112298847253923,0.10664280146655504,0.12514795461762754,0.0593218019596037,0.07191022419069895,0.1810441203234277,0.22106700106350893,2.850026441036489,0.10549291148940829,13.0,9.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0000002488.parquet,,,,Semiconductor,GPU,,True,curated_candidate_universe,97,97,100.0,100.0,98.2,candidate_csv,Semiconductor,theme_quota,7,True
AVGO,Semiconductor,AI Accelerator / Networking ASIC,96,True,,0001730168,Broadcom Inc.,2025-11-02,2025-12-18,10-K,0001730168-25-000121,2025.0,FY,annual,63887000000.0,25484000000.0,23126000000.0,171092000000.0,89800000000.0,81292000000.0,31573000000.0,18514000000.0,27537000000.0,623000000.0,26914000000.0,0.23874432853763516,0.8928916289088613,2.922985581000848,0.03288357632285921,0.3988917933225852,0.3619828760154648,0.13735348357917307,0.3104786198563469,0.5248638159586655,1.1046597451163707,1.7053581073782003,0.16355197082589676,13.0,10.0,True,False,100.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001730168.parquet,,,,Semiconductor,AI Accelerator / Networking ASIC,,True,curated_candidate_universe,96,96,100.0,100.0,97.6,candidate_csv,Semiconductor,theme_quota,8,True
ANET,Networking,Data Center Switching,100,True,,0001596532,"Arista Networks, Inc.",2025-12-31,2026-02-17,10-K,0001596532-26-000013,2025.0,FY,annual,9005700000.0,3856100000.0,3511400000.0,19448600000.0,7078100000.0,12370500000.0,16387000000.0,5376500000.0,4371900000.0,,,0.28595062847468844,0.30954256853864814,0.23118285979157482,0.384841170781294,0.42818437211987964,0.3899086134337142,0.20968263332581025,0.3140041851426408,0.3639387925094865,0.5721757406733762,3.0478936110852786,0.26106723945922133,12.0,9.0,True,False,95.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001596532.parquet,,,,Networking,Data Center Switching,,True,curated_candidate_universe,100,100,94.11764705882352,92.3076923076923,97.3756,candidate_csv,Networking,theme_quota,9,True
EQIX,Data Center,Colocation / Interconnection,100,True,,0001101239,EQUINIX INC,2025-12-31,2026-02-11,10-K,0001101239-26-000032,2025.0,FY,annual,9217000000.0,1848000000.0,1350000000.0,40141000000.0,25963000000.0,14156000000.0,5125000000.0,3893000000.0,3911000000.0,,,0.05361225422953808,0.39156626506024095,0.656441717791411,0.1441071683055437,0.2004990777910383,0.1464684821525442,0.035891845904341586,0.09752925877763328,0.6467950474577115,1.8340632947160216,1.3164654508091447,0.10398000691250366,12.0,9.0,True,False,95.0,latest_annual_pit_valid,C:\Users\python\Desktop\AI_Custom_Index\data\factors\0001101239.parquet,,,,Data Center,Colocation / Interconnection,,True,curated_candidate_universe,100,100,94.11764705882352,92.3076923076923,97.3756,candidate_csv,Data Center,theme_quota,10,True
